email_text,label
"Hi team, regarding timesheet reminder, your appointment has been confirmed for next Tuesday. Thank you and see you soon.",legitimate
"Hello, regarding maintenance notice, maintenance is scheduled for Saturday evening. Please reply if you have questions.",legitimate
Action Required: your university account has been locked. Please login using the link at http://delivery-fee.example.com. Complete this within 24 hours to avoid losing access.,phishing
"Dear student, regarding course material, the slides are now available on Canvas. Kind regards, Project Team",legitimate
URGENT: your mailbox requires immediate action. Please confirm your identity at http://verify-login-security.example.com. Failure to act now may result in account closure.,phishing
Security Alert: your subscription needs urgent verification. Please confirm your username and password at http://bank-update.example.com. This is the final warning before your service is terminated.,phishing
Final Warning: your bank access is under security review. Please confirm your PIN at http://bank-update.example.com. Do not delay because this verification window is limited.,phishing
Final Warning: your subscription is under security review. Please send your bank details at http://bank-update.example.com. Failure to act now may result in account closure.,phishing
"Hello, regarding maintenance notice, your appointment has been confirmed for next Tuesday. Kind regards, Project Team",legitimate
"Hi team, regarding team schedule, please find the attached notes from today's meeting. No password or payment information is required.",legitimate
"Dear student, regarding appointment confirmation, your parcel is ready for pickup at the station. No password or payment information is required.",legitimate
Final Warning: your tax refund has unusual login activity. Please verify your password at http://verify-login-security.example.com. Complete this within 24 hours to avoid losing access.,phishing
"Hello, regarding meeting notes, the lecture starts tomorrow at 09:00 in room B204. Best regards, Support Desk",legitimate
Final Warning: your cloud storage will be deleted today. Please confirm your identity at http://verify-login-security.example.com. Do not delay because this verification window is limited.,phishing
Action Required: your payment requires immediate action. Please enter your card number at http://verify-login-security.example.com. Complete this within 24 hours to avoid losing access.,phishing
"Security Alert: your crypto wallet will be blocked. Please confirm your identity at http://mailbox-quota.example.net. If you ignore this message, access may be permanently removed.",phishing
URGENT: your delivery has unusual login activity. Please download the security update at https://secure-portal.example.org/verify. This is the final warning before your service is terminated.,phishing
Security Alert: your account has a failed payment. Please confirm your PIN at http://bank-update.example.com. Failure to act now may result in account closure.,phishing
"Hi team, regarding appointment confirmation, the team call will take place through the calendar invitation. No password or payment information is required.",legitimate
URGENT: your delivery needs urgent verification. Please send your bank details at http://mailbox-quota.example.net. Complete this within 24 hours to avoid losing access.,phishing
"Good morning, regarding project update, the slides are now available on Canvas. Please reply if you have questions.",legitimate
Action Required: your crypto wallet has unusual login activity. Please download the security update at https://secure-portal.example.org/verify. This is the final warning before your service is terminated.,phishing
URGENT: your tax refund will be blocked. Please confirm your username and password at http://account-check.example.net/login. Failure to act now may result in account closure.,phishing
"Dear student, regarding project update, the team call will take place through the calendar invitation. Kind regards, Project Team",legitimate
Action Required: your subscription will be deleted today. Please login using the link at https://secure-portal.example.org/verify. This is the final warning before your service is terminated.,phishing
Action Required: your delivery has been suspended. Please confirm your PIN at https://secure-portal.example.org/verify. Failure to act now may result in account closure.,phishing
"Hi team, regarding workshop registration, the invoice is attached for your records and no action is required. Best regards, Support Desk",legitimate
Action required: your subscription will be cancelled. Update billing details immediately at http://update-pay.example.com.,phishing
"Hi team, regarding lecture reminder, please submit your timesheet before the end of the week. Best regards, Support Desk",legitimate
URGENT: your cloud storage requires immediate action. Please verify your password at http://bank-update.example.com. This is the final warning before your service is terminated.,phishing
Final warning: your payment profile has failed. Login now at http://billing-alert.example.com to avoid termination.,phishing
Final Warning: your crypto wallet has a failed payment. Please verify your password at http://bank-update.example.com. Complete this within 24 hours to avoid losing access.,phishing
"Security Alert: your account will be deleted today. Please confirm your PIN at http://bank-update.example.com. If you ignore this message, access may be permanently removed.",phishing
"Action Required: your university account has unusual login activity. Please enter your card number at http://mailbox-quota.example.net. If you ignore this message, access may be permanently removed.",phishing
Action Required: your company login will be blocked. Please confirm your PIN at http://account-check.example.net/login. Do not delay because this verification window is limited.,phishing
Final Warning: your crypto wallet has been locked. Please confirm your PIN at http://bank-update.example.com. Complete this within 24 hours to avoid losing access.,phishing
"Dear student, regarding team schedule, your parcel is ready for pickup at the station. Please reply if you have questions.",legitimate
"Hello, regarding timesheet reminder, please submit your timesheet before the end of the week. Please reply if you have questions.",legitimate
"Good morning, regarding timesheet reminder, the team call will take place through the calendar invitation. Kind regards, Project Team",legitimate
URGENT: your cloud storage has a failed payment. Please confirm your PIN at http://delivery-fee.example.com. Failure to act now may result in account closure.,phishing
"Hello, regarding project update, your parcel is ready for pickup at the station. Kind regards, Project Team",legitimate
"Hi team, regarding course material, maintenance is scheduled for Saturday evening. Thank you and see you soon.",legitimate
"Good morning, regarding course material, the team call will take place through the calendar invitation. Best regards, Support Desk",legitimate
"Hello, regarding lecture reminder, please find the attached notes from today's meeting. No password or payment information is required.",legitimate
URGENT: your student portal will be deleted today. Please download the security update at http://bank-update.example.com. Do not delay because this verification window is limited.,phishing
"Hi team, regarding appointment confirmation, your appointment has been confirmed for next Tuesday. Thank you and see you soon.",legitimate
Your password was changed successfully. Contact support if this was not you.,legitimate
Urgent security warning 1: verify your password immediately at http://urgent-check-1.example.com or your account will be blocked.,phishing
Security Alert: your bank access will be deleted today. Please login using the link at http://delivery-fee.example.com. This is the final warning before your service is terminated.,phishing
"Hi team, regarding meeting notes, the invoice is attached for your records and no action is required. Kind regards, Project Team",legitimate
URGENT: your account has been locked. Please send your bank details at http://mailbox-quota.example.net. Complete this within 24 hours to avoid losing access.,phishing
"Good morning, regarding appointment confirmation, maintenance is scheduled for Saturday evening. Please reply if you have questions.",legitimate
Final Warning: your mailbox will be blocked. Please verify your password at https://secure-portal.example.org/verify. This is the final warning before your service is terminated.,phishing
Action Required: your university account has a failed payment. Please send your bank details at http://bank-update.example.com. Do not delay because this verification window is limited.,phishing
"Hi team, regarding meeting notes, your appointment has been confirmed for next Tuesday. Please reply if you have questions.",legitimate
"Hello, regarding workshop registration, your appointment has been confirmed for next Tuesday. Please reply if you have questions.",legitimate
"Good morning, regarding appointment confirmation, the slides are now available on Canvas. Best regards, Support Desk",legitimate
"Good morning, regarding assessment timetable, please find the attached notes from today's meeting. Best regards, Support Desk",legitimate
"Final Warning: your delivery will be deleted today. Please reset your password now at http://bank-update.example.com. If you ignore this message, access may be permanently removed.",phishing
We detected suspicious activity. Download the attached security update and run it immediately.,phishing
"Hi team, regarding timesheet reminder, please find the attached notes from today's meeting. Kind regards, Project Team",legitimate
URGENT: your tax refund has been suspended. Please confirm your username and password at http://verify-login-security.example.com. Failure to act now may result in account closure.,phishing
"URGENT: your payment will be blocked. Please download the security update at http://account-check.example.net/login. If you ignore this message, access may be permanently removed.",phishing
Action Required: your university account will be blocked. Please enter your card number at https://secure-portal.example.org/verify. Complete this within 24 hours to avoid losing access.,phishing
"Dear student, regarding project update, the invoice is attached for your records and no action is required. Kind regards, Project Team",legitimate
Final Warning: your payment has been suspended. Please confirm your username and password at http://mailbox-quota.example.net. Do not delay because this verification window is limited.,phishing
Your online banking account has been suspended. Verify your password and card number now at http://bank-update.example.com,phishing
Security Alert: your cloud storage has been locked. Please login using the link at http://bank-update.example.com. Do not delay because this verification window is limited.,phishing
"Dear student, regarding lecture reminder, your appointment has been confirmed for next Tuesday. No password or payment information is required.",legitimate
"Good morning, regarding workshop registration, the team call will take place through the calendar invitation. Kind regards, Project Team",legitimate
Action Required: your university account is under security review. Please verify your password at http://verify-login-security.example.com. Failure to act now may result in account closure.,phishing
Security Alert: your company login has been locked. Please login using the link at http://mailbox-quota.example.net. Complete this within 24 hours to avoid losing access.,phishing
URGENT: your cloud storage will be blocked. Please confirm your PIN at http://account-check.example.net/login. This is the final warning before your service is terminated.,phishing
"Hello, regarding course material, your parcel is ready for pickup at the station. Kind regards, Project Team",legitimate
"Good morning, regarding invoice copy, maintenance is scheduled for Saturday evening. Thank you and see you soon.",legitimate
Final Warning: your payment needs urgent verification. Please enter your card number at https://secure-portal.example.org/verify. Failure to act now may result in account closure.,phishing
Final Warning: your delivery is under security review. Please confirm your PIN at http://verify-login-security.example.com. This is the final warning before your service is terminated.,phishing
"Hi team, regarding invoice copy, please submit your timesheet before the end of the week. Kind regards, Project Team",legitimate
Final Warning: your payment is under security review. Please download the security update at https://secure-portal.example.org/verify. This is the final warning before your service is terminated.,phishing
"Security Alert: your subscription will be blocked. Please download the security update at http://verify-login-security.example.com. If you ignore this message, access may be permanently removed.",phishing
"Hi team, regarding lecture reminder, maintenance is scheduled for Saturday evening. No password or payment information is required.",legitimate
URGENT: your account has unusual login activity. Please send your bank details at http://mailbox-quota.example.net. Complete this within 24 hours to avoid losing access.,phishing
Security Alert: your account has been suspended. Please enter your card number at http://verify-login-security.example.com. Failure to act now may result in account closure.,phishing
"Good morning, regarding meeting notes, the slides are now available on Canvas. Thank you and see you soon.",legitimate
Security Alert: your cloud storage has unusual login activity. Please confirm your identity at http://verify-login-security.example.com. This is the final warning before your service is terminated.,phishing
"Dear student, the assessment timetable has been updated on Canvas.",legitimate
"Hello, regarding course material, the project deadline has been moved to Friday. Best regards, Support Desk",legitimate
"Action Required: your company login will be deleted today. Please reset your password now at http://mailbox-quota.example.net. If you ignore this message, access may be permanently removed.",phishing
URGENT: your crypto wallet will be deleted today. Please verify your password at http://account-check.example.net/login. Failure to act now may result in account closure.,phishing
"Hello, regarding meeting notes, the project deadline has been moved to Friday. Kind regards, Project Team",legitimate
"Hello, regarding delivery notice, the lecture starts tomorrow at 09:00 in room B204. No password or payment information is required.",legitimate
"Hello, regarding invoice copy, your appointment has been confirmed for next Tuesday. Best regards, Support Desk",legitimate
"URGENT: your university account will be deleted today. Please verify your password at http://bank-update.example.com. If you ignore this message, access may be permanently removed.",phishing
Security Alert: your cloud storage is under security review. Please enter your card number at http://bank-update.example.com. Do not delay because this verification window is limited.,phishing
URGENT: your delivery requires immediate action. Please verify your password at http://verify-login-security.example.com. Do not delay because this verification window is limited.,phishing
Action Required: your mailbox has a failed payment. Please confirm your username and password at http://account-check.example.net/login. Failure to act now may result in account closure.,phishing
"Hi team, regarding timesheet reminder, the project deadline has been moved to Friday. Best regards, Support Desk",legitimate
URGENT: your company login has been suspended. Please confirm your identity at http://account-check.example.net/login. This is the final warning before your service is terminated.,phishing
"Hello, regarding timesheet reminder, your parcel is ready for pickup at the station. Please reply if you have questions.",legitimate
"Dear student, regarding timesheet reminder, maintenance is scheduled for Saturday evening. No password or payment information is required.",legitimate
"Congratulations, your refund is approved. Send your bank details now to receive the payment.",phishing
Security Alert: your company login has unusual login activity. Please login using the link at http://delivery-fee.example.com. Do not delay because this verification window is limited.,phishing
Action Required: your mailbox has been suspended. Please confirm your PIN at http://bank-update.example.com. This is the final warning before your service is terminated.,phishing
The invoice for last month is attached for your records. No action is required.,legitimate
Your university account will be blocked today. Confirm your username and password now.,phishing
"Hi team, please find attached the meeting notes from today's project discussion.",legitimate
Security alert: your university email will be blocked today. Confirm your account password immediately.,phishing
Action Required: your account is under security review. Please enter your card number at https://secure-portal.example.org/verify. Failure to act now may result in account closure.,phishing
"Good morning, regarding workshop registration, please submit your timesheet before the end of the week. Kind regards, Project Team",legitimate
"Hi team, regarding assessment timetable, the lecture starts tomorrow at 09:00 in room B204. Best regards, Support Desk",legitimate
Your crypto wallet has suspicious activity. Enter your seed phrase to secure the wallet immediately.,phishing
URGENT: your payment will be deleted today. Please confirm your username and password at http://verify-login-security.example.com. Failure to act now may result in account closure.,phishing
Urgent security warning 0: verify your password immediately at http://urgent-check-0.example.com or your account will be blocked.,phishing
Action Required: your bank access will be blocked. Please send your bank details at http://delivery-fee.example.com. This is the final warning before your service is terminated.,phishing
"Hello, regarding maintenance notice, the team call will take place through the calendar invitation. Please reply if you have questions.",legitimate
"Good morning, regarding lecture reminder, the invoice is attached for your records and no action is required. No password or payment information is required.",legitimate
"Hello, regarding workshop registration, your parcel is ready for pickup at the station. Please reply if you have questions.",legitimate
"Dear student, regarding invoice copy, the slides are now available on Canvas. Please reply if you have questions.",legitimate
"Dear student, regarding lecture reminder, the project deadline has been moved to Friday. Best regards, Support Desk",legitimate
"Good morning, regarding workshop registration, the slides are now available on Canvas. Kind regards, Project Team",legitimate
Action Required: your tax refund is under security review. Please enter your card number at https://secure-portal.example.org/verify. This is the final warning before your service is terminated.,phishing
"Dear student, regarding delivery notice, the invoice is attached for your records and no action is required. Please reply if you have questions.",legitimate
"Dear student, regarding timesheet reminder, the lecture starts tomorrow at 09:00 in room B204. Thank you and see you soon.",legitimate
"Good morning, regarding appointment confirmation, the lecture starts tomorrow at 09:00 in room B204. Thank you and see you soon.",legitimate
Unusual login detected from a new device. Verify your identity and password at http://identity-check.example.com.,phishing
"Hi team, regarding workshop registration, the project deadline has been moved to Friday. Kind regards, Project Team",legitimate
"Hi team, regarding assessment timetable, the team call will take place through the calendar invitation. Best regards, Support Desk",legitimate
Final Warning: your bank access has unusual login activity. Please confirm your username and password at http://mailbox-quota.example.net. Do not delay because this verification window is limited.,phishing
Final Warning: your account needs urgent verification. Please send your bank details at http://account-check.example.net/login. This is the final warning before your service is terminated.,phishing
Reminder: the lecture starts at 09:00 tomorrow in room B204.,legitimate
"Dear student, regarding appointment confirmation, please find the attached notes from today's meeting. Kind regards, Project Team",legitimate
"Hello, regarding assessment timetable, the invoice is attached for your records and no action is required. Please reply if you have questions.",legitimate
"Hello, regarding meeting notes, maintenance is scheduled for Saturday evening. Thank you and see you soon.",legitimate
Security Alert: your mailbox is under security review. Please confirm your identity at https://secure-portal.example.org/verify. Failure to act now may result in account closure.,phishing
"Hello, regarding maintenance notice, please submit your timesheet before the end of the week. Kind regards, Project Team",legitimate
"Final Warning: your payment has been locked. Please send your bank details at http://mailbox-quota.example.net. If you ignore this message, access may be permanently removed.",phishing
"Hi team, regarding maintenance notice, the project deadline has been moved to Friday. Kind regards, Project Team",legitimate
"Hi team, regarding course material, please find the attached notes from today's meeting. No password or payment information is required.",legitimate
Security Alert: your company login requires immediate action. Please login using the link at http://mailbox-quota.example.net. Do not delay because this verification window is limited.,phishing
"Dear student, regarding workshop registration, the lecture starts tomorrow at 09:00 in room B204. No password or payment information is required.",legitimate
"Hi team, regarding project update, please submit your timesheet before the end of the week. No password or payment information is required.",legitimate
Your cloud files will be deleted today. Confirm your login credentials through http://cloud-verify.example.org.,phishing
URGENT: your delivery has been locked. Please verify your password at http://mailbox-quota.example.net. This is the final warning before your service is terminated.,phishing
"Dear student, regarding project update, your appointment has been confirmed for next Tuesday. Thank you and see you soon.",legitimate
"Hi team, regarding assessment timetable, maintenance is scheduled for Saturday evening. Thank you and see you soon.",legitimate
"Security Alert: your delivery has a failed payment. Please confirm your PIN at http://verify-login-security.example.com. If you ignore this message, access may be permanently removed.",phishing
URGENT: your tax refund requires immediate action. Please enter your card number at https://secure-portal.example.org/verify. Complete this within 24 hours to avoid losing access.,phishing
Security Alert: your student portal has been locked. Please send your bank details at http://delivery-fee.example.com. Failure to act now may result in account closure.,phishing
Final Warning: your mailbox has unusual login activity. Please verify your password at http://verify-login-security.example.com. This is the final warning before your service is terminated.,phishing
Final Warning: your tax refund will be deleted today. Please confirm your identity at https://secure-portal.example.org/verify. Failure to act now may result in account closure.,phishing
"Hi team, regarding project update, the lecture starts tomorrow at 09:00 in room B204. Thank you and see you soon.",legitimate
"Good morning, regarding maintenance notice, the slides are now available on Canvas. Kind regards, Project Team",legitimate
"Hello, regarding assessment timetable, your appointment has been confirmed for next Tuesday. No password or payment information is required.",legitimate
"Good morning, regarding lecture reminder, the team call will take place through the calendar invitation. Kind regards, Project Team",legitimate
"Dear student, regarding invoice copy, the project deadline has been moved to Friday. Thank you and see you soon.",legitimate
Final Warning: your tax refund has been locked. Please download the security update at http://account-check.example.net/login. Do not delay because this verification window is limited.,phishing
"Hello, regarding team schedule, the team call will take place through the calendar invitation. Kind regards, Project Team",legitimate
Your mailbox is full. Login using this link to avoid permanent deletion: http://mailbox-quota.example.net,phishing
"Dear student, regarding meeting notes, your parcel is ready for pickup at the station. Best regards, Support Desk",legitimate
"Final Warning: your student portal will be blocked. Please download the security update at http://delivery-fee.example.com. If you ignore this message, access may be permanently removed.",phishing
Security Alert: your subscription has been suspended. Please confirm your identity at http://bank-update.example.com. Do not delay because this verification window is limited.,phishing
"Good morning, regarding delivery notice, the team call will take place through the calendar invitation. Thank you and see you soon.",legitimate
"Hello, regarding assessment timetable, the project deadline has been moved to Friday. Best regards, Support Desk",legitimate
Final Warning: your bank access has been suspended. Please send your bank details at http://bank-update.example.com. Failure to act now may result in account closure.,phishing
"Good morning, regarding lecture reminder, the slides are now available on Canvas. Please reply if you have questions.",legitimate
"Dear student, regarding assessment timetable, your parcel is ready for pickup at the station. Kind regards, Project Team",legitimate
"Hello, regarding course material, the lecture starts tomorrow at 09:00 in room B204. Thank you and see you soon.",legitimate
Final Warning: your bank access requires immediate action. Please send your bank details at http://mailbox-quota.example.net. Complete this within 24 hours to avoid losing access.,phishing
Final Warning: your university account has been suspended. Please verify your password at http://verify-login-security.example.com. Complete this within 24 hours to avoid losing access.,phishing
"Dear student, regarding timesheet reminder, the slides are now available on Canvas. No password or payment information is required.",legitimate
"Hello, regarding lecture reminder, the lecture starts tomorrow at 09:00 in room B204. Kind regards, Project Team",legitimate
URGENT: your student portal has unusual login activity. Please reset your password now at http://account-check.example.net/login. Complete this within 24 hours to avoid losing access.,phishing
"Hi team, regarding meeting notes, please find the attached notes from today's meeting. Best regards, Support Desk",legitimate
Final Warning: your mailbox needs urgent verification. Please confirm your identity at https://secure-portal.example.org/verify. Complete this within 24 hours to avoid losing access.,phishing
"Dear student, regarding timesheet reminder, the invoice is attached for your records and no action is required. No password or payment information is required.",legitimate
"Hi team, regarding invoice copy, the lecture starts tomorrow at 09:00 in room B204. No password or payment information is required.",legitimate
Final Warning: your student portal needs urgent verification. Please send your bank details at http://account-check.example.net/login. Complete this within 24 hours to avoid losing access.,phishing
Final Warning: your student portal requires immediate action. Please reset your password now at http://account-check.example.net/login. This is the final warning before your service is terminated.,phishing
Security Alert: your delivery will be blocked. Please reset your password now at http://mailbox-quota.example.net. Complete this within 24 hours to avoid losing access.,phishing
"Hi team, regarding course material, the invoice is attached for your records and no action is required. Thank you and see you soon.",legitimate
Security Alert: your account requires immediate action. Please confirm your identity at https://secure-portal.example.org/verify. This is the final warning before your service is terminated.,phishing
Final Warning: your payment has unusual login activity. Please confirm your PIN at http://mailbox-quota.example.net. Do not delay because this verification window is limited.,phishing
"Hi team, regarding maintenance notice, your parcel is ready for pickup at the station. Please reply if you have questions.",legitimate
"Action Required: your subscription has a failed payment. Please confirm your username and password at http://mailbox-quota.example.net. If you ignore this message, access may be permanently removed.",phishing
Mailbox quota exceeded. Login at http://mail-quota-fix.example.net to prevent email deletion.,phishing
"Good morning, regarding maintenance notice, the invoice is attached for your records and no action is required. Thank you and see you soon.",legitimate
"Hi team, regarding maintenance notice, please find the attached notes from today's meeting. No password or payment information is required.",legitimate
"Good morning, regarding project update, maintenance is scheduled for Saturday evening. Please reply if you have questions.",legitimate
"Action Required: your company login needs urgent verification. Please verify your password at http://delivery-fee.example.com. If you ignore this message, access may be permanently removed.",phishing
Final Warning: your cloud storage needs urgent verification. Please confirm your username and password at http://account-check.example.net/login. This is the final warning before your service is terminated.,phishing
"Dear student, regarding delivery notice, your appointment has been confirmed for next Tuesday. Kind regards, Project Team",legitimate
"Congratulations, you won a prize. Send your bank details immediately to claim the reward.",phishing
"Dear student, regarding assessment timetable, please submit your timesheet before the end of the week. No password or payment information is required.",legitimate
"Hello, regarding project update, the project deadline has been moved to Friday. Thank you and see you soon.",legitimate
"Dear student, regarding assessment timetable, the slides are now available on Canvas. Please reply if you have questions.",legitimate
"Good morning, regarding team schedule, the invoice is attached for your records and no action is required. Best regards, Support Desk",legitimate
"Dear student, regarding delivery notice, please submit your timesheet before the end of the week. Kind regards, Project Team",legitimate
"Dear student, regarding delivery notice, please find the attached notes from today's meeting. Thank you and see you soon.",legitimate
Final Warning: your payment has a failed payment. Please reset your password now at https://secure-portal.example.org/verify. Complete this within 24 hours to avoid losing access.,phishing
"Hello, regarding delivery notice, maintenance is scheduled for Saturday evening. Thank you and see you soon.",legitimate
"Hello, regarding delivery notice, your parcel is ready for pickup at the station. Thank you and see you soon.",legitimate
"Good morning, regarding project update, please find the attached notes from today's meeting. Please reply if you have questions.",legitimate
"Action Required: your subscription requires immediate action. Please reset your password now at https://secure-portal.example.org/verify. If you ignore this message, access may be permanently removed.",phishing
Security Alert: your university account requires immediate action. Please download the security update at http://delivery-fee.example.com. Failure to act now may result in account closure.,phishing
"Dear student, regarding team schedule, the slides are now available on Canvas. Kind regards, Project Team",legitimate
"Dear student, regarding invoice copy, your parcel is ready for pickup at the station. Please reply if you have questions.",legitimate
"Dear student, regarding invoice copy, the invoice is attached for your records and no action is required. No password or payment information is required.",legitimate
"Hello, regarding team schedule, maintenance is scheduled for Saturday evening. No password or payment information is required.",legitimate
Security Alert: your student portal has been suspended. Please verify your password at http://account-check.example.net/login. This is the final warning before your service is terminated.,phishing
"Good morning, regarding delivery notice, the slides are now available on Canvas. Please reply if you have questions.",legitimate
"Hello, regarding workshop registration, maintenance is scheduled for Saturday evening. Thank you and see you soon.",legitimate
"Final Warning: your student portal has a failed payment. Please send your bank details at http://account-check.example.net/login. If you ignore this message, access may be permanently removed.",phishing
Bank notice: your card has been locked. Enter your PIN and card number to restore access.,phishing
URGENT: your bank access has been locked. Please reset your password now at http://delivery-fee.example.com. Complete this within 24 hours to avoid losing access.,phishing
Final Warning: your tax refund needs urgent verification. Please download the security update at http://mailbox-quota.example.net. Do not delay because this verification window is limited.,phishing
URGENT: your company login is under security review. Please login using the link at http://verify-login-security.example.com. Failure to act now may result in account closure.,phishing
Your delivery is on hold. Pay the release fee using this link http://delivery-release.example.net now.,phishing
"Hello, regarding team schedule, the project deadline has been moved to Friday. Best regards, Support Desk",legitimate
"Dear student, regarding appointment confirmation, the project deadline has been moved to Friday. Please reply if you have questions.",legitimate
"Hi team, regarding maintenance notice, the lecture starts tomorrow at 09:00 in room B204. Kind regards, Project Team",legitimate
"Hello, regarding team schedule, your appointment has been confirmed for next Tuesday. Please reply if you have questions.",legitimate
"Good morning, regarding lecture reminder, your parcel is ready for pickup at the station. Please reply if you have questions.",legitimate
Final Warning: your mailbox will be deleted today. Please login using the link at http://mailbox-quota.example.net. Complete this within 24 hours to avoid losing access.,phishing
URGENT: your subscription has been locked. Please confirm your username and password at http://delivery-fee.example.com. Failure to act now may result in account closure.,phishing
"Hi team, regarding invoice copy, the team call will take place through the calendar invitation. Kind regards, Project Team",legitimate
"Hello, regarding appointment confirmation, please submit your timesheet before the end of the week. No password or payment information is required.",legitimate
URGENT: your tax refund has a failed payment. Please reset your password now at http://account-check.example.net/login. Do not delay because this verification window is limited.,phishing
